,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
3,Male,United States,56.0,"Independent contractor, freelancer, or self-employed",Yes,Operations Research Practitioner,TensorFlow,Neural Nets,Python,Master's degree,Mathematics or statistics,More than 10 years,University courses,30.0,0.0,40.0,30.0,0.0,0.0
4,Male,Taiwan,38.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Text Mining,Python,Doctoral degree,Engineering (non-computer focused),More than 10 years,University courses,60.0,5.0,5.0,30.0,0.0,0.0
5,Male,Brazil,46.0,Employed full-time,Yes,Data Scientist,TensorFlow,Genetic & Evolutionary Algorithms,Python,Doctoral degree,Electrical Engineering,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",45.0,25.0,20.0,0.0,10.0,0.0
6,Male,United States,35.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Text Mining,R,Master's degree,Electrical Engineering,More than 10 years,University courses,40.0,0.0,0.0,50.0,10.0,0.0
7,Female,India,22.0,Employed full-time,No,Software Developer/Software Engineer,Google Cloud Compute,Deep learning,SQL,Bachelor's degree,Computer Science,1 to 2 years,University courses,0.0,40.0,0.0,50.0,10.0,0.0
9,Male,Russia,33.0,Employed full-time,Yes,Software Developer/Software Engineer,C/C++,Deep learning,Python,Bachelor's degree,Other,1 to 2 years,Self-taught,10.0,70.0,15.0,0.0,5.0,0.0
11,Male,India,27.0,Employed full-time,Yes,Data Scientist,Other,Deep learning,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,University courses,10.0,0.0,30.0,40.0,0.0,20.0
14,Male,Taiwan,26.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
15,Male,United States,58.0,"Independent contractor, freelancer, or self-employed",Yes,DBA/Database Engineer,Python,Rule Induction,R,Master's degree,Mathematics or statistics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,20.0,10.0,10.0,10.0,0.0
20,Male,United States,49.0,"Independent contractor, freelancer, or self-employed",No,Scientist/Researcher,Amazon Machine Learning,Proprietary Algorithms,Java,Master's degree,Biology,More than 10 years,Self-taught,20.0,0.0,0.0,80.0,0.0,0.0
